Operator,Station,Code,Cubic Name,NLC,Gated
Greater Anglia,Audley End,AGA,TOC7017,7017,1
Greater Anglia,Battlesbridge,AGA,TOC6870,6870,1
Greater Anglia,Billericay,AGA,TOC6871,6871,1
Greater Anglia,Bishops Stortford,AGA,TOC6800,6800,1
Greater Anglia,Braintree  Nrthern,AGA,TOC6801,6801,1
Greater Anglia,Braintree Freeport,AGA,TOC2053,2053,1
Greater Anglia,Broxbourne,AGA,TOC6812,6812,1
Greater Anglia,Bures,AGA,TOC3427,3427,1
Greater Anglia,Burnham on Crouch,AGA,TOC6873,6873,1
Greater Anglia,Cambridge,AGA,TOC7022,7022,1
Greater Anglia,Cambridge North,AGA,TOC8001,8001,1
Greater Anglia,Chappel & Wakes Colne,AGA,TOC3428,7051,1
Greater Anglia,Chelmsford,AGA,TOC6836,6836,1
Greater Anglia,Cheshunt,AGA,TOC6814,6814,1
Greater Anglia,Clacton,AGA,TOC3421,6850,1
Greater Anglia,Colchester ,AGA,TOC6861,6861,1
Greater Anglia,Colchester Town,AGA,TOC6853,6853,1
Greater Anglia,Cressing,AGA,TOC6837,6837,1
Greater Anglia,Diss,AGA,TOC7348,7348,1
Greater Anglia,Dovercourt,AGA,TOC6901,6901,1
Greater Anglia,Elsenham,AGA,TOC6832,6832,1
Greater Anglia,Ely,AGA,TOC7068,7068,1
Greater Anglia,Frinton on Sea,AGA,TOC6854,6854,1
Greater Anglia,Great Bentley,AGA,TOC6855,6855,1
Greater Anglia,Great Chesterford,AGA,TOC7032,7032,1
Greater Anglia,Harlow Mill,AGA,TOC6844,6844,1
Greater Anglia,Harlow Town,AGA,TOC6827,6827,1
Greater Anglia,Harwich International,AGA,TOC6902,6902,1
Greater Anglia,Harwich Town,AGA,TOC6905,6905,1
Greater Anglia,Hatfield Peverel,AGA,TOC6845,6845,1
Greater Anglia,Hockley,AGA,TOC6880,6880,1
Greater Anglia,Hythe,AGA,TOC6581,6851,1
